Name,Sex,Year,Born,Died,Living,Average Age
Aaban,M,2007,5,0,5,0.0
Aaban,M,2008,0,0,5,1.0
Aaban,M,2009,6,0,11,0.9090909090909091
Aaban,M,2010,9,0,20,1.05
Aaban,M,2011,11,0,31,1.3225806451612903
Aaban,M,2012,11,0,42,1.7142857142857142
Aaban,M,2013,14,0,56,2.0357142857142856
Aaban,M,2014,16,0,72,2.361111111111111
Aaban,M,2015,15,0,87,2.781609195402299
Aaban,M,2016,9,0,96,3.4270833333333335
Aaban,M,2017,11,0,107,3.953271028037383
Aaban,M,2018,7,0,114,4.614035087719298
Aaban,M,2019,6,0,120,5.325
Aaban,M,2020,0,0,120,6.316666666666666
Aaban,M,2021,0,0,120,7.316666666666666
Aaban,M,2022,7,0,127,7.858267716535433
Aaban,M,2023,0,0,127,8.84251968503937
Aabha,F,2011,7,0,7,0.0
Aabha,F,2012,5,0,12,0.5833333333333334
Aabha,F,2013,0,0,12,1.5833333333333333
Aabha,F,2014,9,0,21,1.4761904761904763
Aabha,F,2015,7,0,28,1.8571428571428572
Aabha,F,2016,7,0,35,2.2857142857142856
Aabha,F,2017,0,0,35,3.2857142857142856
Aabha,F,2018,0,0,35,4.285714285714286
Aabha,F,2019,6,0,41,4.512195121951219
Aabha,F,2020,5,0,46,4.913043478260869
Aabha,F,2021,5,0,51,5.313725490196078
Aabha,F,2022,5,0,56,5.732142857142857
Aabha,F,2023,6,0,62,6.080645161290323
Aabid,M,2003,5,0,5,0.0
Aabid,M,2004,0,0,5,1.0
Aabid,M,2005,0,0,5,2.0
Aabid,M,2006,0,0,5,3.0
Aabid,M,2007,0,0,5,4.0
Aabid,M,2008,0,0,5,5.0
Aabid,M,2009,0,0,5,6.0
Aabid,M,2010,0,0,5,7.0
Aabid,M,2011,0,0,5,8.0
Aabid,M,2012,0,0,5,9.0
Aabid,M,2013,0,0,5,10.0
Aabid,M,2014,0,0,5,10.8
Aabid,M,2015,0,0,5,11.8
Aabid,M,2016,5,0,10,6.4
Aabid,M,2017,0,0,10,7.4
Aabid,M,2018,6,0,16,5.25
Aabid,M,2019,0,0,16,6.25
Aabid,M,2020,0,0,16,7.25
Aabid,M,2021,0,0,16,8.25
Aabid,M,2022,0,0,16,9.25
Aabid,M,2023,0,0,16,10.1875
Aabidah,F,2018,5,0,5,0.0
Aabidah,F,2019,0,0,5,1.0
Aabidah,F,2020,0,0,5,2.0
Aabidah,F,2021,0,0,5,3.0
Aabidah,F,2022,0,0,5,4.0
Aabidah,F,2023,0,0,5,5.0
Aabir,M,2016,5,0,5,0.0
Aabir,M,2017,0,0,5,1.0
Aabir,M,2018,5,0,10,1.0
Aabir,M,2019,0,0,10,2.0
Aabir,M,2020,0,0,10,3.0
Aabir,M,2021,0,0,10,4.0
Aabir,M,2022,9,0,19,2.6315789473684212
Aabir,M,2023,0,0,19,3.6315789473684212
Aabriella,F,2008,5,0,5,0.0
Aabriella,F,2009,0,0,5,1.0
Aabriella,F,2010,0,0,5,2.0
Aabriella,F,2011,0,0,5,3.0
Aabriella,F,2012,0,0,5,4.0
Aabriella,F,2013,0,0,5,5.0
Aabriella,F,2014,5,0,10,3.0
Aabriella,F,2015,5,0,15,2.6666666666666665
Aabriella,F,2016,11,0,26,2.1153846153846154
Aabriella,F,2017,6,0,32,2.53125
Aabriella,F,2018,6,0,38,2.973684210526316
Aabriella,F,2019,6,0,44,3.4318181818181817
Aabriella,F,2020,7,0,51,3.823529411764706
Aabriella,F,2021,0,0,51,4.803921568627451
Aabriella,F,2022,0,0,51,5.803921568627451
Aabriella,F,2023,0,0,51,6.784313725490196
Aada,F,2015,5,0,5,0.0
Aada,F,2016,0,0,5,1.0
Aada,F,2017,0,0,5,2.0
Aada,F,2018,8,0,13,1.1538461538461537
Aada,F,2019,0,0,13,2.1538461538461537
Aada,F,2020,0,0,13,3.1538461538461537
Aada,F,2021,0,0,13,4.153846153846154
Aada,F,2022,0,0,13,5.153846153846154
Aada,F,2023,0,0,13,6.153846153846154
Aadam,M,1987,5,0,5,0.0
Aadam,M,1988,5,0,10,0.5
Aadam,M,1989,0,0,10,1.5
Aadam,M,1990,0,0,10,2.5
Aadam,M,1991,0,0,10,3.5
Aadam,M,1992,0,0,10,4.5
Aadam,M,1993,7,0,17,3.235294117647059
Aadam,M,1994,6,0,23,3.0869565217391304
Aadam,M,1995,6,0,29,3.2413793103448274